ISBN,bookTitle,bookAuthor,yearOfPublication,publisher,imageUrlS,imageUrlM,imageUrlL,weighted_rating,avg_rating,num_ratings
0440219078,The Giver ,LOIS LOWRY,1994,Laure Leaf,http://images.amazon.com/images/P/0440219078.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440219078.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440219078.01.LZZZZZZZ.jpg,8.46432220094572,8.663366336633663,101.0
0380813815,"Lamb : The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,2003,Perennial,http://images.amazon.com/images/P/0380813815.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380813815.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380813815.01.LZZZZZZZ.jpg,8.459297354331941,8.78688524590164,61.0
0553296981,Anne Frank: The Diary of a Young Girl,ANNE FRANK,1993,Bantam,http://images.amazon.com/images/P/0553296981.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553296981.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553296981.01.LZZZZZZZ.jpg,8.445943318002127,8.7012987012987,77.0
0380002930,Watership Down,Richard Adams,1976,Avon,http://images.amazon.com/images/P/0380002930.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380002930.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380002930.01.LZZZZZZZ.jpg,8.42774415417915,8.62,100.0
0345350499,The Mists of Avalon,MARION ZIMMER BRADLEY,1987,Del Rey,http://images.amazon.com/images/P/0345350499.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345350499.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345350499.01.LZZZZZZZ.jpg,8.411591356245,8.63855421686747,83.0
0440414806,Holes ,LOUIS SACHAR,2000,Yearling,http://images.amazon.com/images/P/0440414806.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440414806.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440414806.01.LZZZZZZZ.jpg,8.410402751182147,8.657894736842104,76.0
0440212561,Outlander,DIANA GABALDON,1992,Dell,http://images.amazon.com/images/P/0440212561.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440212561.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440212561.01.LZZZZZZZ.jpg,8.403412985412519,8.58095238095238,105.0
0385504209,The Da Vinci Code,Dan Brown,2003,Doubleday,http://images.amazon.com/images/P/0385504209.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385504209.01.LZZZZZZZ.jpg,8.397339090250908,8.435318275154003,487.0
0142001740,The Secret Life of Bees,Sue Monk Kidd,2003,Penguin Books,http://images.amazon.com/images/P/0142001740.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0142001740.01.LZZZZZZZ.jpg,8.392870921807296,8.452768729641694,307.0
0671617028,The Color Purple,Alice Walker,1985,Pocket Books,http://images.amazon.com/images/P/0671617028.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671617028.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671617028.01.LZZZZZZZ.jpg,8.38602741106283,8.694915254237289,59.0
0312265867,To the Nines: A Stephanie Plum Novel,Janet Evanovich,2003,St. Martin's Press,http://images.amazon.com/images/P/0312265867.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312265867.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312265867.01.LZZZZZZZ.jpg,8.383213273064381,8.701754385964913,57.0
0070212570,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,1989,McGraw-Hill,http://images.amazon.com/images/P/0070212570.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0070212570.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0070212570.01.LZZZZZZZ.jpg,8.382184319256499,8.593023255813954,86.0
0142004235,East of Eden ,John Steinbeck,2003,Penguin Books,http://images.amazon.com/images/P/0142004235.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0142004235.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0142004235.01.LZZZZZZZ.jpg,8.376777151808762,8.63768115942029,69.0
0060915544,The Bean Trees,Barbara Kingsolver,1989,Perennial,http://images.amazon.com/images/P/0060915544.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060915544.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060915544.01.LZZZZZZZ.jpg,8.36907996537741,8.521367521367521,117.0
0440998050,A Wrinkle in Time,Madeleine L'Engle,1976,Laure Leaf,http://images.amazon.com/images/P/0440998050.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440998050.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440998050.01.LZZZZZZZ.jpg,8.366735397210048,8.597402597402597,77.0
0553274295,Where the Red Fern Grows,Wilson Rawls,1984,Random House Children's Books,http://images.amazon.com/images/P/0553274295.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553274295.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553274295.01.LZZZZZZZ.jpg,8.358521915039688,8.666666666666666,57.0
0525947647,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,2003,Dutton Books,http://images.amazon.com/images/P/0525947647.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0525947647.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0525947647.01.LZZZZZZZ.jpg,8.348767136159717,8.615384615384615,65.0
0553272535,Night,Elie Wiesel,1982,Bantam Books,http://images.amazon.com/images/P/0553272535.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553272535.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553272535.01.LZZZZZZZ.jpg,8.345174785501852,8.532608695652174,92.0
0449212602,The Handmaid's Tale,Margaret Atwood,1989,Fawcett Books,http://images.amazon.com/images/P/0449212602.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449212602.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449212602.01.LZZZZZZZ.jpg,8.34103907494974,8.495495495495495,111.0
0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books,http://images.amazon.com/images/P/0449005615.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg,8.340557466098714,8.483333333333333,120.0
0671041789,The Green Mile,Stephen King,1999,Pocket,http://images.amazon.com/images/P/0671041789.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671041789.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671041789.01.LZZZZZZZ.jpg,8.31390063659504,8.48936170212766,94.0
0060938455,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,2002,Perennial,http://images.amazon.com/images/P/0060938455.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060938455.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060938455.01.LZZZZZZZ.jpg,8.309215028754016,8.415584415584416,154.0
0553375407,Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn,1995,Bantam,http://images.amazon.com/images/P/0553375407.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553375407.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553375407.01.LZZZZZZZ.jpg,8.288476907781483,8.457446808510639,94.0
1400031354,Tears of the Giraffe ,Alexander McCall Smith,2002,Anchor,http://images.amazon.com/images/P/1400031354.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1400031354.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1400031354.01.LZZZZZZZ.jpg,8.28605273208584,8.452631578947368,95.0
1844262553,Free,Paul Vincent,2003,Upfront Publishing,http://images.amazon.com/images/P/1844262553.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1844262553.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1844262553.01.LZZZZZZZ.jpg,8.28432804213804,8.6,50.0
0394820371,The Phantom Tollbooth,Norton Juster,1993,Yearling Books,http://images.amazon.com/images/P/0394820371.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0394820371.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0394820371.01.LZZZZZZZ.jpg,8.280978964856278,8.551724137931034,58.0
1400032717,The Curious Incident of the Dog in the Night-Time ,Mark Haddon,2004,Vintage,http://images.amazon.com/images/P/1400032717.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1400032717.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1400032717.01.LZZZZZZZ.jpg,8.280537001576198,8.588235294117647,51.0
0684874350,ANGELA'S ASHES,Frank McCourt,1996,Scribner,http://images.amazon.com/images/P/0684874350.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684874350.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684874350.01.LZZZZZZZ.jpg,8.26948894306548,8.386363636363637,132.0
0671727796,The Color Purple,Alice Walker,1990,Pocket,http://images.amazon.com/images/P/0671727796.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671727796.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671727796.01.LZZZZZZZ.jpg,8.269250270088332,8.492753623188406,69.0
0670894605,The Secret Life of Bees,Sue Monk Kidd,2002,Viking Books,http://images.amazon.com/images/P/0670894605.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0670894605.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0670894605.01.LZZZZZZZ.jpg,8.267910175793196,8.516129032258064,62.0
0451169530,The Stand: Complete and Uncut,Stephen King,1991,Signet Book,http://images.amazon.com/images/P/0451169530.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451169530.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451169530.01.LZZZZZZZ.jpg,8.266385905512923,8.485714285714286,70.0
0743227441,The Other Boleyn Girl,Philippa Gregory,2002,Touchstone,http://images.amazon.com/images/P/0743227441.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743227441.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743227441.01.LZZZZZZZ.jpg,8.259288170698348,8.431818181818182,88.0
0440215625,Dragonfly in Amber,DIANA GABALDON,1993,Dell,http://images.amazon.com/images/P/0440215625.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440215625.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440215625.01.LZZZZZZZ.jpg,8.255747607640583,8.471428571428572,70.0
0842329250,Soul Harvest: The World Takes Sides ,Tim Lahaye,1999,Tyndale House Publishers,http://images.amazon.com/images/P/0842329250.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842329250.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842329250.01.LZZZZZZZ.jpg,8.254088381946689,8.574468085106384,47.0
0316693006,Four Blind Mice,James Patterson,2002,"Little, Brown",http://images.amazon.com/images/P/0316693006.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316693006.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316693006.01.LZZZZZZZ.jpg,8.253497290580901,8.508474576271187,59.0
1592400876,"Eats, Shoots &amp; Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,2004,Gotham Books,http://images.amazon.com/images/P/1592400876.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1592400876.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1592400876.01.LZZZZZZZ.jpg,8.238003438977685,8.5,56.0
0842329218,Tribulation Force: The Continuing Drama of Those Left Behind ,Tim LaHaye,1997,Tyndale House Publishers,http://images.amazon.com/images/P/0842329218.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842329218.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842329218.01.LZZZZZZZ.jpg,8.236729773801954,8.406976744186046,86.0
0312924585,Silence of the Lambs,Thomas Harris,1991,St. Martin's Press,http://images.amazon.com/images/P/0312924585.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312924585.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312924585.01.LZZZZZZZ.jpg,8.235590258222167,8.366071428571429,112.0
0345413369,The Subtle Knife ,PHILIP PULLMAN,1998,Del Rey,http://images.amazon.com/images/P/0345413369.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345413369.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345413369.01.LZZZZZZZ.jpg,8.232467755336447,8.555555555555555,45.0
0451163966,One Flew Over the Cuckoo's Nest,Ken Kesey,1989,Signet Book,http://images.amazon.com/images/P/0451163966.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451163966.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451163966.01.LZZZZZZZ.jpg,8.231285578438651,8.5,54.0
0515136530,Key of Valor ,Nora Roberts,2003,Jove Pubns,http://images.amazon.com/images/P/0515136530.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515136530.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515136530.01.LZZZZZZZ.jpg,8.227203668242865,8.509803921568627,51.0
0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book,http://images.amazon.com/images/P/0451166892.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451166892.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451166892.01.LZZZZZZZ.jpg,8.225588064128061,8.39080459770115,87.0
0553208845,Siddhartha,Hermann Hesse,1981,Bantam Classics,http://images.amazon.com/images/P/0553208845.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553208845.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553208845.01.LZZZZZZZ.jpg,8.2242141462923,8.5,52.0
0805062971,Fight Club,Chuck Palahniuk,1999,Owl Books,http://images.amazon.com/images/P/0805062971.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0805062971.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0805062971.01.LZZZZZZZ.jpg,8.21676047457047,8.5,50.0
0451526341,Animal Farm,George Orwell,2004,Signet,http://images.amazon.com/images/P/0451526341.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451526341.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451526341.01.LZZZZZZZ.jpg,8.215864440674267,8.369565217391305,92.0
0345391802,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1995,Ballantine Books,http://images.amazon.com/images/P/0345391802.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345391802.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345391802.01.LZZZZZZZ.jpg,8.208752865814738,8.402777777777779,72.0
0060175400,The Poisonwood Bible,Barbara Kingsolver,1999,HarperCollins,http://images.amazon.com/images/P/0060175400.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060175400.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060175400.01.LZZZZZZZ.jpg,8.206277207041323,8.384615384615385,78.0
076790592X,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,2002,Broadway,http://images.amazon.com/images/P/076790592X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/076790592X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/076790592X.01.LZZZZZZZ.jpg,8.203246961056958,8.48,50.0
0375400117,Memoirs of a Geisha,Arthur Golden,1997,Alfred A. Knopf,http://images.amazon.com/images/P/0375400117.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375400117.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375400117.01.LZZZZZZZ.jpg,8.20057535883164,8.5,46.0
0312990456,One for the Money ,Janet Evanovich,2003,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312990456.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312990456.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312990456.01.LZZZZZZZ.jpg,8.196089946937118,8.397058823529411,68.0
0449911519,Secret History : A Novel,DONNA TARTT,1996,Ballantine Books,http://images.amazon.com/images/P/0449911519.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449911519.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449911519.01.LZZZZZZZ.jpg,8.195003821086317,8.479166666666666,48.0
0312971346,High Five ,Janet Evanovich,2000,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312971346.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312971346.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312971346.01.LZZZZZZZ.jpg,8.1930300469561,8.352941176470589,85.0
0446532231,"Dude, Where's My Country?",Michael Moore,2003,Warner Books,http://images.amazon.com/images/P/0446532231.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446532231.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446532231.01.LZZZZZZZ.jpg,8.186197124939955,8.337078651685394,89.0
0142001805,The Eyre Affair: A Novel,Jasper Fforde,2003,Penguin Books,http://images.amazon.com/images/P/0142001805.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0142001805.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0142001805.01.LZZZZZZZ.jpg,8.185220381719727,8.382352941176471,68.0
039592720X,Interpreter of Maladies,Jhumpa Lahiri,1999,Houghton Mifflin Co,http://images.amazon.com/images/P/039592720X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/039592720X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/039592720X.01.LZZZZZZZ.jpg,8.184084439981785,8.364864864864865,74.0
0060391626,I Know This Much Is True ,Wally Lamb,1998,Regan Books,http://images.amazon.com/images/P/0060391626.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060391626.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060391626.01.LZZZZZZZ.jpg,8.18222500119409,8.36,75.0
0440180295,Slaughterhouse Five or the Children's Crusade: A Duty Dance With Death,Kurt Vonnegut,1991,Laurel,http://images.amazon.com/images/P/0440180295.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440180295.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440180295.01.LZZZZZZZ.jpg,8.177946496431915,8.337349397590362,83.0
